iteration,external_heat_rate_W_per_m,outlet_mach,mean_wall_temperature_K
236,35819.60242176458,0.9012944409738727,655.6192166102478
237,35819.61761848308,0.901293682545648,655.6192525796417
238,35819.90130728146,0.9012930741448443,655.6309432308468
239,35814.50854026862,0.9012924667684257,655.6745726900451
240,35820.56717393682,0.9012917015572411,655.723300738407
241,35923.2723913843,0.9012907403005946,655.7921957433596
242,35949.84622726672,0.9012896644044711,655.7423633083861
243,35849.81914864088,0.9012885824963622,655.5935785457876
244,35731.51557947118,0.9012876208405624,655.3621938297912
245,35621.75848386125,0.901286958138524,655.0610864908275
246,35522.8646890922,0.901286701420677,654.6962715714448
247,35433.98539008528,0.9012868668383701,654.2819735408477
248,35347.37567502231,0.9012873092975886,653.8079926761951
249,35263.44831573801,0.9012876776188934,653.3033513277315
250,35178.72612457778,0.9012876466801715,652.7554195320218
251,35103.17578280433,0.9012867919057004,652.1880682120235
252,35033.16649139835,0.9012847556505466,651.6217026075744
253,34966.96417480989,0.9012812900111714,651.0628942768798
254,34905.04402938061,0.9012763126198062,650.5135391178366
255,34848.45741301557,0.9012698902862522,649.9825547180079
256,34793.32123386409,0.9012622273217668,649.4710234158508
257,34737.16380790443,0.9012536379340811,648.9765496383285
258,34681.35684691809,0.9012445226698493,648.4999121453436
259,34622.1921891275,0.9012353614810159,648.0327633980276
260,34562.74213990408,0.901226654474497,647.5792968914375
261,34499.09740069745,0.9012189191017521,647.1324351213756
262,34435.12923261372,0.9012126445132451,646.6941972094489
263,34368.68130767934,0.9012082611839096,646.2628700324294
264,34299.2280529931,0.9012061080710488,645.8304801644592
265,34229.69538237735,0.9012064023291002,645.3981541368844
266,34158.68240772992,0.9012092308815087,644.9714402013157
267,34082.92935105984,0.9012145430375734,644.5382829143897
268,34008.10787049273,0.9012221545392451,644.1034693327241
269,33930.57433692004,0.9012317846731537,643.6671791143068
270,33850.93379110863,0.9012430793299356,643.2270308272675
271,33769.15368046919,0.9012556394291313,642.7788043704662
272,33686.59354075164,0.901269051195986,642.3249936671336
273,33602.260051143,0.9012829135306745,641.8680342700043
274,33514.28450635746,0.9012968658561211,641.4024133674278
275,33424.91921371873,0.9013106082877076,640.925898541856
276,33334.79211091979,0.9013239146574005,640.4381851878736
277,33243.56041731549,0.9013366367692509,639.9438393953183
278,33149.55204285849,0.9013487155629347,639.4368776775784
279,33056.25250356624,0.9013601124232128,638.9138200808773
280,32958.72524657589,0.9013709020590477,638.3841284063138
281,32862.93833695858,0.901381178322852,637.8481636853019
282,32767.56381380089,0.9013910727257313,637.2991284254089
283,32671.55664228799,0.9014007389399017,636.7345384461718
284,32570.62872780904,0.9014103425417479,636.1577226009731
285,32469.80200970659,0.9014200484175086,635.5721848687358
286,32365.06493137282,0.9014300163801063,634.9711998645007
287,32259.54161382508,0.9014403901849454,634.3425338037475
288,32147.35502718571,0.90145129370901,633.6879862407716
289,32028.13748261866,0.9014628293893295,632.9917090334171
290,31908.68467976036,0.9014750689867287,632.2567203821211
291,31788.63166113897,0.9014880620089016,631.4989568638066
292,31666.68354725047,0.9015018385783824,630.7282676455504
293,31550.5480884349,0.9015164081755445,629.954472656311
294,31445.32373847544,0.9015317665338142,629.2090955908798
295,31355.7749663291,0.9015478944126071,628.510725122332
296,31284.78512209279,0.9015647609865342,627.8813038828962
297,31231.89854965299,0.9015822476929171,627.3252930733435
298,31194.46450045761,0.9016003693139683,626.8439186545952
299,31168.11477223774,0.9016191337358123,626.434926516472
300,31146.5736139177,0.9016385329158163,626.0878562154084
301,31128.92258141466,0.9016585547080915,625.7910389088885
302,31114.07712512609,0.9016791571122806,625.5336875686941
303,31100.2312072834,0.9017002763833993,625.306371659695
304,31087.90710410522,0.9017218282899389,625.1069688964566
305,31075.58367831889,0.9017436406025194,624.9290598237104
306,31065.73500356176,0.9017654258278895,624.7725368686818
307,31058.43220237098,0.9017867091246795,624.6370529029195
308,31051.53921077864,0.9018069020808136,624.5205539545502
309,31042.62322389496,0.9018254476718187,624.4385927430392
310,31023.62620243263,0.9018420341287566,624.3565707281821
311,31006.52523206555,0.901856684426237,624.2703921605802
312,30990.10540270378,0.9018697507794106,624.1786681335907
313,30974.53327046863,0.901881874936811,624.0829819483416
314,30959.62801394794,0.9018939849544659,623.9897259743101
315,30944.67594071366,0.901906903684243,623.8899918710899
316,30930.12500902185,0.9019216372128468,623.7872114727355
317,30915.93015238669,0.9019391418380027,623.6830522526008
318,30902.56230454884,0.9019602719341204,623.5813618817396
319,30887.85803142442,0.9019857870349047,623.4797048712463
320,30874.33011579458,0.9020162905125981,623.3799469939732
321,30860.64888449668,0.9020522012717628,623.2830815833321
322,30847.25284293764,0.9020936961795367,623.1889464727934
323,30832.98180595159,0.9021406342153175,623.093424003541
324,30820.06227824277,0.9021925535667723,622.9977203408531
325,30806.10178916936,0.9022486165191667,622.9035445432849
326,30791.379550568,0.9023076544643956,622.8071620030533
327,30775.6186943157,0.9023682546436705,622.7102879978426
328,30759.31031493194,0.902428845683666,622.613267946369
329,30742.56102639431,0.9024878109123218,622.5169006245363
330,30725.66706874268,0.9025439307451533,622.3944016552051
331,30717.21896103929,0.9025955089510952,622.2811611921097
332,30706.13898860077,0.902641374227157,622.1752074809194
333,30693.41247546813,0.9026807439509339,622.0717839072787
334,30680.22937450612,0.9027131682488484,621.9708336857923
335,30666.38755896157,0.9027385315908327,621.8712501586715
336,30652.22660037901,0.9027569985996119,621.7707060671564
337,30638.29519013947,0.9027689884729649,621.6695300257671
338,30623.98363415219,0.9027751760977981,621.5915278714634
339,30604.57570176718,0.9027763382480757,621.5061784001341
340,30586.65570280713,0.902773337253578,621.4185028330796
341,30568.43123199528,0.9027670104581696,621.3293143750518
342,30551.25166609852,0.9027581717267853,621.2418936618823
343,30533.86496444284,0.9027475902884012,621.1544455775563
344,30517.17808277795,0.9027359578428799,621.0648259500964
345,30500.92445440388,0.9027237592793296,620.9474605450528
346,30492.93631708866,0.9027116783448568,620.8390251175617
347,30482.15675356338,0.9027001781150803,620.7576990452961
348,30465.35839366903,0.902689322954842,620.6703766339003
349,30448.96338866654,0.902679324521422,620.5822060423433
350,30433.32859091095,0.9026702766157766,620.4635583845628
351,30423.91406542291,0.9026623028580628,620.3815377794373
352,30407.1456078103,0.9026552970937816,620.2959525984722
353,30390.46329558036,0.9026491774891119,620.1815347455008
354,30380.65998991799,0.9026438676542774,620.0755982166945
355,30368.39216689733,0.9026392479578804,619.998072268302
356,30350.21846548506,0.9026352206097483,619.9145222931228
357,30332.6227999654,0.9026316712881565,619.832085571392
358,30315.19059642605,0.9026285003275867,619.744736705003
359,30297.72995997156,0.9026256305143041,619.6533328883636
360,30282.34798249239,0.9026229966442798,619.5340334032178
361,30274.51575751788,0.902620539151633,619.4247146241687
362,30264.05695071708,0.9026182349176537,619.3216969566566
363,30250.96913912785,0.9026160654277617,619.223026310478
364,30237.72568876599,0.9026140204881073,619.1247158964417
365,30224.45460588154,0.9026121011746988,619.0269912692941
366,30211.27791619908,0.9026103198097197,618.9293216449247
367,30197.23173539556,0.9026086910682379,618.833147902564
368,30182.87694504103,0.9026072350077234,618.737579317516
369,30168.19269912535,0.9026059715374735,618.6421710968103
370,30152.96358230111,0.902604960626599,618.5678565168498
371,30134.0479910562,0.902604171383004,618.4874988623784
372,30114.984644334,0.9026036339988206,618.4035679303389
373,30096.51343400264,0.9026033744537222,618.3150876387928
374,30078.40792677204,0.9026034097491271,618.220954563473
375,30061.78986600965,0.9026037503231024,618.129313736551
376,30043.77082629803,0.9026044004849857,618.0366195812225
377,30027.45933482883,0.9026053410648407,617.9181020111628
378,30017.99163209738,0.902606593551759,617.8104689180464
379,30006.63365383094,0.9026081409710118,617.7080599918248
380,29993.22947573358,0.9026099790078881,617.628970472434
381,29974.79247839234,0.9026120725318043,617.5440403544442
382,29957.37814342842,0.9026144127833045,617.4568558623843
383,29941.08977909892,0.9026169911009343,617.367616937141
384,29925.44624284495,0.9026197962172124,617.2779132619639
385,29909.33033082555,0.9026228133145585,617.186610383484
386,29893.89944748496,0.9026260206198704,617.0687872237429
387,29884.01007817753,0.9026294005832863,616.9611723454033
388,29871.83441340368,0.9026328304169272,616.8835332107585
389,29853.62367889853,0.9026364455584397,616.8043014682796
390,29838.3828361421,0.9026403060249149,616.7195485296354
391,29821.0910718404,0.9026443820819662,616.6292069998766
392,29801.91555231374,0.9026486487801044,616.5383157086601
393,29781.960707543,0.9026531104601195,616.4421350843517
394,29762.61503629738,0.9026578082560046,616.3431012558384
