case,h_scale,wall_temperature_mean_K,external_heat_rate_W_per_m,outlet_mach,solid_temperature_min_K,solid_temperature_mean_K,solid_temperature_max_K,wall_yplus_max,pressure_mape_pressure_percent,pressure_mape_suction_percent,wall_temperature_mape_pressure_percent,wall_temperature_mape_suction_percent,htc_mape_pressure_percent,htc_mape_suction_percent,wall_temperature_bias_pressure_K,wall_temperature_bias_suction_K,htc_bias_pressure_W_m2K,htc_bias_suction_W_m2K
h_m10,0.9,661.723523534,33888.0247327,0.901301684391,563.826296908,644.54301744,720.355870263,0.450031316493,0.925566422035,3.98733325002,2.61818191767,2.86462823109,7.69129008041,10.7517625334,16.1468313262,18.5768748338,-10.8035285446,36.7937128834
h_m05,0.95,658.58898796,34876.7958104,0.901311538545,558.167186468,640.924210074,718.554466241,0.450992677031,0.92561735039,3.98822529625,2.01665698706,2.42273016252,7.72054528019,11.1509716518,12.4152437307,15.7109304459,-6.97750485229,44.1328071546
baseline,1,655.61921661,35819.6024218,0.901294440974,552.824392516,637.495041286,716.830699443,0.451904455185,0.926497246128,3.98003781047,1.44800232792,2.00453310766,7.79505834879,11.5347484602,8.88710132613,12.9986675061,-3.40500829314,50.9024675244
h_p05,1.05,652.805846341,36718.2758447,0.901329942332,547.782509438,634.246026382,715.183189039,0.452774109387,0.925692085393,3.98989035586,0.976071951489,1.62903072994,7.88834154048,11.8897459204,5.54881049538,10.43450027,-0.015019084843,57.2215167942
h_p10,1.1,650.131826595,37577.5962917,0.90133855958,543.008816181,631.157684981,713.601689472,0.453601726975,0.925711611467,3.99065815648,0.628576156908,1.33796024981,7.97439931238,12.2386620806,2.38240168575,7.99990254783,3.16777241065,63.0938539057
