report,boundary_or_statistic,value,fluent_unit,reference_depth_m,unit_per_span
mass_flow,inlet,19.208264,kg/s,1,kg/(s*m)
mass_flow,outlet,-19.208186,kg/s,1,kg/(s*m)
mass_flow,net,7.7192849e-05,kg/s,1,kg/(s*m)
heat_transfer,wall_vane_solid_side,34876.796,W,1,W/m
heat_transfer,wall_vane_fluid_side,-34876.796,W,1,W/m
heat_transfer,cooling_hole_01,-3914.37,W,1,W/m
heat_transfer,cooling_hole_02,-3731.5085,W,1,W/m
heat_transfer,cooling_hole_03,-3666.8076,W,1,W/m
heat_transfer,cooling_hole_04,-3797.1101,W,1,W/m
heat_transfer,cooling_hole_05,-4413.8958,W,1,W/m
heat_transfer,cooling_hole_06,-3871.1251,W,1,W/m
heat_transfer,cooling_hole_07,-4684.4148,W,1,W/m
heat_transfer,cooling_hole_08,-3195.5564,W,1,W/m
heat_transfer,cooling_hole_09,-2068.097,W,1,W/m
heat_transfer,cooling_hole_10,-1534.5721,W,1,W/m
heat_transfer,cooling_holes_total,-34877.457,W,1,W/m
wall_yplus,minimum,0.010404851154,-,1,-
wall_yplus,area_weighted_average,0.303499759122,-,1,-
wall_yplus,maximum,0.450992677031,-,1,-
