report,boundary_or_statistic,value,fluent_unit,reference_depth_m,unit_per_span
mass_flow,inlet,19.208454,kg/s,1,kg/(s*m)
mass_flow,outlet,-19.208368,kg/s,1,kg/(s*m)
mass_flow,net,8.6058411e-05,kg/s,1,kg/(s*m)
heat_transfer,wall_vane_solid_side,35341.031,W,1,W/m
heat_transfer,wall_vane_fluid_side,-35341.031,W,1,W/m
heat_transfer,cooling_hole_01,-3966.1951,W,1,W/m
heat_transfer,cooling_hole_02,-3769.2481,W,1,W/m
heat_transfer,cooling_hole_03,-3703.5954,W,1,W/m
heat_transfer,cooling_hole_04,-3835.995,W,1,W/m
heat_transfer,cooling_hole_05,-4477.8299,W,1,W/m
heat_transfer,cooling_hole_06,-3910.4079,W,1,W/m
heat_transfer,cooling_hole_07,-4766.0621,W,1,W/m
heat_transfer,cooling_hole_08,-3250.419,W,1,W/m
heat_transfer,cooling_hole_09,-2104.6199,W,1,W/m
heat_transfer,cooling_hole_10,-1557.0497,W,1,W/m
heat_transfer,cooling_holes_total,-35341.4221,W,1,W/m
wall_yplus,minimum,0.0104209817579,-,1,-
wall_yplus,area_weighted_average,0.303925447186,-,1,-
wall_yplus,maximum,0.451430586993,-,1,-
