case,T_shift_K,wall_temperature_mean_K,external_heat_rate_W_per_m,outlet_mach,solid_temperature_min_K,solid_temperature_mean_K,solid_temperature_max_K,wall_yplus_max,pressure_mape_pressure_percent,pressure_mape_suction_percent,wall_temperature_mape_pressure_percent,wall_temperature_mape_suction_percent,htc_mape_pressure_percent,htc_mape_suction_percent,wall_temperature_bias_pressure_K,wall_temperature_bias_suction_K,htc_bias_pressure_W_m2K,htc_bias_suction_W_m2K
t_m10,-10,652.578037089,36775.127288,0.901330501725,546.920456282,633.953764223,715.023516563,0.452856380217,0.925697443656,3.99004088043,0.923838115266,1.59848554882,7.91602429793,11.9383437163,5.23303963893,10.2391109721,-0.158270015704,57.4153975957
t_m05,-5,654.097975811,36297.042116,0.901325780954,549.875042961,635.72421635,715.927315032,0.452380694384,0.925683110312,3.98956037807,1.16932441393,1.79365837948,7.85500643401,11.7383194276,7.05900695672,11.6184089159,-1.76558476883,54.1889514499
baseline,0,655.61921661,35819.6024218,0.901294440974,552.824392516,637.495041286,716.830699443,0.451904455185,0.926497246128,3.98003781047,1.44800232792,2.00453310766,7.79505834879,11.5347484602,8.88710132613,12.9986675061,-3.40500829314,50.9024675244
t_p05,5,657.146883297,35341.0312138,0.901316131353,555.778538575,639.27211081,717.738815268,0.451430586993,0.925639552159,3.98859453601,1.74384999723,2.21861693665,7.73308572632,11.3300423534,10.7204629813,14.3870153584,-5.03252746441,47.6030098782
t_p10,10,658.676046059,34862.8608057,0.901311389832,558.727540541,641.049741829,718.64752069,0.450955271864,0.925613339902,3.98811637292,2.04006478609,2.43284282919,7.68506001423,11.1213442586,12.5561777823,15.7763052224,-6.69545119529,44.2348512943
