case,surface,quantity,points,mean_bias,mae,rmse,max_abs_error,mape_percent,inside_interval_percent
t_m10,pressure,pressure ratio,14,-0.00351993078533,0.00709485793811,0.0114958731291,0.0363006928092,0.925697443656,
t_m10,suction,pressure ratio,14,-0.014103183702,0.0233840126696,0.0282536340876,0.0539800149669,3.99004088043,
t_m10,pressure,wall temperature,31,5.23303963893,5.66664419461,6.40974404552,10.2239017193,0.923838115266,
t_m10,pressure,heat-transfer coefficient,31,-0.158270015704,47.2462431259,61.7456659576,188.227991491,7.91602429793,54.8387096774
t_m10,suction,wall temperature,44,10.2391109721,10.3696767854,12.8213592841,28.7368283611,1.59848554882,
t_m10,suction,heat-transfer coefficient,44,57.4153975957,87.5133886652,121.467724402,339.765168117,11.9383437163,56.8181818182
