case,surface,quantity,points,mean_bias,mae,rmse,max_abs_error,mape_percent,inside_interval_percent
h_p05_t_p05,pressure,pressure ratio,14,-0.003519191958649,0.00709463854364576,0.0114958722032566,0.0363020771700223,0.925677398523275,
h_p05_t_p05,pressure,wall temperature,31,7.41822635902086,7.51705827089599,8.44223764387061,12.7799711741227,1.22665478435513,
h_p05_t_p05,pressure,heat-transfer coefficient,31,-1.67051981763097,46.95305709414,61.87487930723,189.479537973389,7.82687893641274,58.0645161290323
h_p05_t_p05,suction,pressure ratio,14,-0.0141003226298898,0.0233803926962834,0.0282479966809414,0.0539645121456303,3.98939691954222,
h_p05_t_p05,suction,wall temperature,44,11.8474443040852,11.8597379747649,14.1192319058831,30.134501321216,1.82888330921636,
h_p05_t_p05,suction,heat-transfer coefficient,44,53.9076635370389,85.4703308365225,119.700134196471,336.018909613506,11.6848953896332,61.3636363636364
