quantity,unit,baseline,t_p05,absolute_change,relative_change_percent
mean external wall temperature,K,655.61921661,657.146883297,1.52766668723,0.233011273698
external heat-transfer rate,W/m,35819.6024218,35341.0312138,-478.571207978,-1.33605951943
outlet Mach number,-,0.901294440974,0.901316131353,2.16903792e-05,0.00240658082704
solid minimum temperature,K,552.824392516,555.778538575,2.95414605898,0.534373319805
solid mean temperature,K,637.495041286,639.27211081,1.77706952422,0.278758172085
solid maximum temperature,K,716.830699443,717.738815268,0.908115824875,0.12668484003
