quantity,unit,baseline,h_m05_t_m05,absolute_change,relative_change_percent
mean external wall temperature,K,655.61921661,657.0993184473117,1.4801018373117358,0.22575632315429608
external heat-transfer rate,W/m,35819.6024218,35342.07943360362,-477.52298819638236,-1.333133133565322
outlet Mach number,-,0.901294440974,0.9013161380525989,2.169707859889236e-05,0.002407324134324519
solid minimum temperature,K,552.824392516,555.28316829571,2.458775779709981,0.4447661523254545
solid mean temperature,K,637.495041286,639.1915134278266,1.696472141826689,0.2661153470942214
solid maximum temperature,K,716.830699443,717.6739258033728,0.8432263603727961,0.11763256805658708
