quantity,unit,baseline,h_p05_t_m05,absolute_change,relative_change_percent
mean external wall temperature,K,655.61921661,651.2512888138147,-4.367927796185313,-0.666229373014795
external heat-transfer rate,W/m,35819.6024218,37208.63098889332,1389.0285670933154,3.8778447363445476
outlet Mach number,-,0.901294440974,0.9013348673338508,4.042635985079812e-05,0.004485366603072648
solid minimum temperature,K,552.824392516,544.7649754358358,-8.059417080164167,-1.4578620605875146
solid mean temperature,K,637.495041286,632.4351563883757,-5.059884897624215,-0.793713608723459
solid maximum temperature,K,716.830699443,714.2539192986404,-2.5767801443595317,-0.35946844162251573
