case,surface,quantity,points,mean_bias,mae,rmse,max_abs_error,mape_percent,inside_interval_percent
t_m05,pressure,pressure ratio,14,-0.00351940850022,0.00709470595191,0.0114958757467,0.0363017280963,0.925683110312,
t_m05,suction,pressure ratio,14,-0.0141010327701,0.0233813017116,0.0282494042668,0.0539687909154,3.98956037807,
t_m05,pressure,wall temperature,31,7.05900695672,7.16683780233,8.04194116975,12.2307828304,1.16932441393,
t_m05,pressure,heat-transfer coefficient,31,-1.76558476883,47.0950097976,62.0407840339,190.075995979,7.85500643401,58.064516129
t_m05,suction,wall temperature,44,11.6184089159,11.6315614326,13.8959188886,29.9006588828,1.79365837948,
t_m05,suction,heat-transfer coefficient,44,54.1889514499,85.9310652636,120.015257945,336.371200382,11.7383194276,59.0909090909
