quantity,unit,baseline,t_m10,absolute_change,relative_change_percent
mean external wall temperature,K,655.61921661,652.578037089,-3.041179521,-0.463863694649
external heat-transfer rate,W/m,35819.6024218,36775.127288,955.524866191,2.66760321608
outlet Mach number,-,0.901294440974,0.901330501725,3.60607508123e-05,0.00400099558734
solid minimum temperature,K,552.824392516,546.920456282,-5.90393623437,-1.06795870701
solid mean temperature,K,637.495041286,633.953764223,-3.54127706306,-0.555498762142
solid maximum temperature,K,716.830699443,715.023516563,-1.80718288048,-0.252107350018
