quantity,unit,baseline,h_m10,absolute_change,relative_change_percent
mean external wall temperature,K,655.61921661,661.723523534,6.10430692405,0.931075046215
external heat-transfer rate,W/m,35819.6024218,33888.0247327,-1931.57768907,-5.3925157134
outlet Mach number,-,0.901294440974,0.901301684391,7.24341692127e-06,0.00080366821229
solid minimum temperature,K,552.824392516,563.826296908,11.0019043918,1.99012643812
solid maximum temperature,K,716.830699443,720.355870263,3.52517081941,0.491771742219
solid mean temperature,K,637.495041286,644.54301744,7.04797615387,1.10557348645
