quantity,unit,baseline,t_p10,absolute_change,relative_change_percent
mean external wall temperature,K,655.61921661,658.676046059,3.05682944949,0.466250740071
external heat-transfer rate,W/m,35819.6024218,34862.8608057,-956.741616113,-2.6710000989
outlet Mach number,-,0.901294440974,0.901311389832,1.69488580299e-05,0.00188050178271
solid minimum temperature,K,552.824392516,558.727540541,5.90314802463,1.06781612833
solid mean temperature,K,637.495041286,641.049741829,3.55470054309,0.557604422448
solid maximum temperature,K,716.830699443,718.64752069,1.81682124709,0.25345193063
