case,x_h,x_T,h_scale,T_shift_K,wall_temperature_mean_K,external_heat_rate_W_per_m,outlet_mach,solid_temperature_min_K,solid_temperature_mean_K,solid_temperature_max_K,wall_yplus_max,pressure_mape_pressure_percent,pressure_mape_suction_percent,wall_temperature_mape_pressure_percent,wall_temperature_mape_suction_percent,htc_mape_pressure_percent,htc_mape_suction_percent
h_m05_t_m05,-1,-1,0.95,-5,657.0993184473117,35342.07943360362,0.9013161380525989,555.28316829571,639.1915134278266,717.6739258033728,0.45145621380976275,0.9256429435965071,3.988690624739667,1.727778216277556,2.2139234490186546,7.764131836224858,11.354707959372847
h_m05_t_p05,-1,1,0.95,5,660.081560101482,34411.51417578488,0.9013069040106505,561.0494145095129,642.6591598764228,719.4364924427229,0.4505293757880659,0.92559066209383,3.987757389692532,2.3060294125703966,2.632024740590184,7.676998754235773,10.944950458544465
h_p05_t_m05,1,-1,1.05,-5,651.2512888138147,37208.63098889332,0.9013348673338508,544.7649754358358,632.4351563883757,714.2539192986404,0.45326095214876083,0.9257053885498995,3.9903844661008034,0.7548988192075687,1.445617580242421,7.9496779042309615,12.09830846457627
h_p05_t_p05,1,1,1.05,5,654.3635684318796,36227.8711390356,0.9013251008454262,550.7980574584903,636.0593470395315,716.1141213703777,0.4522872729156204,0.9256773985232752,3.9893969195422185,1.2266547843551328,1.828883309216359,7.8268789364127445,11.684895389633212
