quantity,unit,factorial_main_effect_h,ofat_central_effect_h,h_difference,h_relative_difference_percent,factorial_main_effect_T,ofat_central_effect_T,T_difference,T_relative_difference_percent
mean external wall temperature,K,-5.783010651549773,-5.783141619000048,0.0001309674502749658,-0.0022646419351842043,3.047260636117585,3.0489074860000756,-0.001646849882490642,-0.05401442615273244
external heat-transfer rate,W/m,1841.4542592702019,1841.4800343000024,-0.025775029800570337,-0.0013996909725045236,-955.6625538382286,-956.010902199996,0.348348361767421,-0.0364376976209992
outlet Mach number,-,1.846305801378456e-05,1.8403787000020877e-05,5.9271013763684266e-08,0.3220587902023482,-9.500265186535017e-06,-9.649600999916963e-06,1.4933581338194557e-07,-1.5475853704544948
solid minimum temperature,K,-10.384774955448393,-10.38467702999992,-9.792544847186946e-05,0.0009429802023594586,5.8996641182287135,5.903495614000008,-0.0038314957712941577,-0.06490215326336232
solid mean temperature,K,-6.678084938171139,-6.6781836920000615,9.875382892232665e-05,-0.0014787528088007816,3.545918549875978,3.5478944599999522,-0.001975910123974245,-0.0556924718660958
solid maximum temperature,K,-3.3711887885387455,-3.3712772019999875,8.841346124199845e-05,-0.0026225509189676767,1.8113843555436802,1.811500236000029,-0.00011588045634880473,-0.00639693299762854
