quantity,unit,baseline,h_m05_t_p05,absolute_change,relative_change_percent
mean external wall temperature,K,655.61921661,660.081560101482,4.462343491481988,0.6806303687306947
external heat-transfer rate,W/m,35819.6024218,34411.51417578488,-1408.0882460151188,-3.931054927505695
outlet Mach number,-,0.901294440974,0.9013069040106505,1.2463036650478543e-05,0.0013827930234411312
solid minimum temperature,K,552.824392516,561.0494145095129,8.225021993512883,1.4878182122318062
solid mean temperature,K,637.495041286,642.6591598764228,5.164118590422845,0.8100641190879498
solid maximum temperature,K,716.830699443,719.4364924427229,2.605792999722894,0.36351582064602095
