case,surface,quantity,points,mean_bias,mae,rmse,max_abs_error,mape_percent,inside_interval_percent
t_p05,pressure,pressure ratio,14,-0.0035182457976,0.00709429936906,0.0114956166673,0.0363027164557,0.925639552159,
t_p05,suction,pressure ratio,14,-0.0140966866663,0.0233758539133,0.0282409012963,0.0539460105818,3.98859453601,
t_p05,pressure,wall temperature,31,10.7204629813,10.7204629813,11.5034214639,16.2558428913,1.74384999723,
t_p05,pressure,heat-transfer coefficient,31,-5.03252746441,46.7994439399,62.7972673484,193.866715786,7.73308572632,58.064516129
t_p05,suction,wall temperature,44,14.3870153584,14.3870153584,16.1973060364,32.2380375879,2.21861693665,
t_p05,suction,heat-transfer coefficient,44,47.6030098782,82.701246302,117.280552414,329.435712042,11.3300423534,65.9090909091
