case,surface,quantity,points,mean_bias,mae,rmse,max_abs_error,mape_percent,inside_interval_percent
h_p05_t_m05,pressure,pressure ratio,14,-0.0035202406436647166,0.007094940473732024,0.011495833232297097,0.03629980489151641,0.9257053885498995,
h_p05_t_m05,pressure,wall temperature,31,3.682701873398441,4.639470598276804,5.2416442335426865,8.682115288327964,0.7548988192075687,
h_p05_t_m05,pressure,heat-transfer coefficient,31,1.6213232745828368,47.250314314547914,61.316937520287176,185.6687244305507,7.9496779042309615,58.06451612903226
h_p05_t_m05,suction,pressure ratio,14,-0.01410472177053467,0.02338596290635165,0.028256715692221598,0.05398761650333139,3.9903844661008034,
h_p05_t_m05,suction,wall temperature,44,9.025007064385564,9.383889100558447,11.978762527860598,27.754129560205456,1.445617580242421,
h_p05_t_m05,suction,heat-transfer coefficient,44,60.48780846374313,88.75232593595007,122.72215167714887,342.93720229566065,12.09830846457627,52.27272727272727
