quantity,unit,beta0,beta_h,beta_T,beta_hT,main_effect_h,main_effect_T,interaction_effect,difference_of_differences,interaction_to_h_percent,interaction_to_T_percent,center_point_baseline,center_departure
mean external wall temperature,K,655.698933948622,-2.8915053257748866,1.5236303180587925,0.03250949097366629,-5.783010651549773,3.047260636117585,0.06501898194733258,0.13003796389466515,1.1243102574937902,2.1336862747051115,655.61921661,0.07971733862200381
external heat-transfer rate,W/m,35797.52393432936,920.7271296351009,-477.8312769191143,-12.548648009746103,1841.4542592702019,-955.6625538382286,-25.097296019492205,-50.19459203898441,1.36290629501917,2.626167146415218,35819.6024218,-22.078487470644177
outlet Mach number,-,0.9013207525606316,9.23152900689228e-06,-4.750132593267509e-06,-1.3311161906059965e-07,1.846305801378456e-05,-9.500265186535017e-06,-2.662232381211993e-07,-5.324464762423986e-07,1.441923856397117,2.802271651306373,0.901294440974,2.6311586631577732e-05
solid minimum temperature,K,552.9739039248873,-5.192387477724196,2.9498320591143568,0.06670895221290607,-10.384774955448393,5.8996641182287135,0.13341790442581214,0.2668358088516243,1.2847452640831103,2.261449156293136,552.824392516,0.14951140888729242
solid mean temperature,K,637.5862941830392,-3.3390424690855696,1.772959274937989,0.03913605063991099,-6.678084938171139,3.545918549875978,0.07827210127982198,0.15654420255964396,1.172074060220887,2.207385764192458,637.495041286,0.0912528970392259
solid maximum temperature,K,716.8696147287784,-1.6855943942693727,0.9056921777718401,0.024408858096791164,-3.3711887885387455,1.8113843555436802,0.04881771619358233,0.09763543238716466,1.4480860982793715,2.6950501170100853,716.830699443,0.03891528577844383
