case,surface,quantity,points,mean_bias,mae,rmse,max_abs_error,mape_percent,inside_interval_percent
t_p10,pressure,pressure ratio,14,-0.00351762786096,0.00709406586801,0.0114954061122,0.0363028792384,0.925613339902,
t_p10,suction,pressure ratio,14,-0.01409450532,0.0233731577375,0.0282367009077,0.053934875523,3.98811637292,
t_p10,pressure,wall temperature,31,12.5561777823,12.5561777823,13.284263985,18.274124057,2.04006478609,
t_p10,pressure,heat-transfer coefficient,31,-6.69545119529,46.7500041141,63.2603171103,195.815559807,7.68506001423,58.064516129
t_p10,suction,wall temperature,44,15.7763052224,15.7763052224,17.4054851238,33.4111722574,2.43284282919,
t_p10,suction,heat-transfer coefficient,44,44.2348512943,81.0503810775,116.007634238,325.885574346,11.1213442586,65.9090909091
