case,surface,quantity,points,mean_bias,mae,rmse,max_abs_error,mape_percent,inside_interval_percent
h_m05_t_m05,pressure,pressure ratio,14,-0.0035183889586890005,0.0070943439552445765,0.01149561276881933,0.036302472846651224,0.9256429435965071,
h_m05_t_m05,pressure,wall temperature,31,10.625104305270225,10.625104305270225,11.360106388008255,16.0090755990567,1.727778216277556,
h_m05_t_m05,pressure,heat-transfer coefficient,31,-5.364046127904126,47.005945801874944,63.030238885674585,194.72426814287712,7.764131836224858,58.06451612903226
h_m05_t_m05,suction,pressure ratio,14,-0.014097085304812462,0.02337638217653215,0.028241723343393366,0.05394874169485886,3.988690624739667,
h_m05_t_m05,suction,wall temperature,44,14.356796410696687,14.356796410696687,16.138188298300136,32.17019614896628,2.2139234490186546,
h_m05_t_m05,suction,heat-transfer coefficient,44,47.41116608056613,82.9349261643331,117.40983271611249,329.30165125474684,11.354707959372847,65.9090909090909
