quantity,unit,baseline,h_p05_t_p05,absolute_change,relative_change_percent
mean external wall temperature,K,655.61921661,654.3635684318796,-1.2556481781203956,-0.19152095397888977
external heat-transfer rate,W/m,35819.6024218,36227.8711390356,408.2687172355945,1.1397913143422274
outlet Mach number,-,0.901294440974,0.9013251008454262,3.0659871426141905e-05,0.003401759739359844
solid minimum temperature,K,552.824392516,550.7980574584903,-2.026335057509641,-0.3665422663944761
solid mean temperature,K,637.495041286,636.0593470395315,-1.4356942464684153,-0.22520869238013705
solid maximum temperature,K,716.830699443,716.1141213703777,-0.7165780726222692,-0.09996475781228022
