run,code,surface,s_over_arc,x_over_axial_chord,PS_over_PT,source,report_page,notes,model,cfd_ps_over_pt,error
145,4512,pressure,0.2894,0.3384,0.9806,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.9812564268321862,0.0006564268321861411
145,4512,pressure,0.3751,0.4369,0.972,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.9729184021649221,0.0009184021649221163
145,4512,pressure,0.4603,0.5265,0.9598,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.9597326701024794,-6.732989752056273e-05
145,4512,pressure,0.6422,0.6949,0.9101,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.8982833593292595,-0.011816640670740508
145,4512,pressure,0.7179,0.757,0.8584,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.8512488727865103,-0.007151127213489761
145,4512,pressure,0.7414,0.7755,0.8387,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.8334492661106542,-0.005250733889345827
145,4512,pressure,0.8073,0.8255,0.7891,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.7789396641402914,-0.010160335859708658
145,4512,pressure,0.8894,0.8843,0.6959,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.7072943055432662,0.011394305543266259
145,4512,pressure,0.9745,0.9416,0.6473,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.6236006744716193,-0.02369932552838072
145,4512,suction,0.0393,0.0246,0.9791,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.9753472237035515,-0.0037527762964484346
145,4512,suction,0.0781,0.0697,0.9399,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.9358451117745271,-0.004054888225472841
145,4512,suction,0.1176,0.1342,0.8563,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.8398566497821097,-0.01644335021789023
145,4512,suction,0.1569,0.2181,0.671,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.6947986774768548,0.023798677476854713
145,4512,suction,0.1962,0.3058,0.6091,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.5677045447451394,-0.04139545525486055
145,4512,suction,0.2358,0.3816,0.549,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.5090215292582162,-0.039978470741783845
145,4512,suction,0.275,0.4409,0.5418,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.5106382454341997,-0.03116175456580028
145,4512,suction,0.3447,0.52,0.5461,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.5479910464745565,0.0018910464745565125
145,4512,suction,0.4145,0.5844,0.5281,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.5736003734487611,0.04550037344876112
145,4512,suction,0.5534,0.6963,0.5966,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.5941172081535381,-0.0024827918464619403
145,4512,suction,0.6233,0.7485,0.5928,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.5823554943666356,-0.01044450563336441
145,4512,suction,0.8166,0.8863,0.5618,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.5359462009786463,-0.02585379902135365
145,4512,suction,0.902,0.9427,0.5738,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.5124849103431356,-0.061315089656864386
145,4512,suction,0.9505,0.9723,0.5671,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.5452071737449938,-0.021892826255006215
