reference_point,reference_x_m,reference_y_m,raw_side,surface
1,0.0612568893313,0.0562284443141,upper,suction
2,0.0611325645374,0.0565988676522,upper,suction
3,0.0610081591979,0.0569692639109,upper,suction
4,0.0608836714565,0.0573396324496,upper,suction
5,0.060759099457,0.0577099726276,upper,suction
6,0.0606344413431,0.0580802838043,upper,suction
7,0.0605096952588,0.0584505653391,upper,suction
8,0.0603848593477,0.0588208165914,upper,suction
9,0.0602599317536,0.0591910369204,upper,suction
10,0.0601349106763,0.0595612257041,upper,suction
11,0.0600097949483,0.0599313825301,upper,suction
12,0.059884584319,0.0603015072897,upper,suction
13,0.0597592788817,0.0606715999881,upper,suction
14,0.0596338787342,0.061041660632,upper,suction
15,0.0595083839742,0.0614116892283,upper,suction
16,0.0593827946997,0.0617816857836,upper,suction
17,0.0592571110083,0.0621516503047,upper,suction
18,0.0591313329979,0.0625215827983,upper,suction
19,0.0590054607663,0.0628914832712,upper,suction
20,0.0588794944112,0.06326135173,upper,suction
21,0.0587534340304,0.0636311881817,upper,suction
22,0.0586272797218,0.0640009926328,upper,suction
23,0.0585010315831,0.0643707650902,upper,suction
24,0.0583746897121,0.0647405055605,upper,suction
25,0.0582482542066,0.0651102140505,upper,suction
26,0.0581217250072,0.0654798905122,upper,suction
27,0.0579951010186,0.0658495345365,upper,suction
28,0.0578683799615,0.0662191453018,upper,suction
29,0.0577415592513,0.0665887218801,upper,suction
30,0.0576146363031,0.0669582633432,upper,suction
31,0.0574876085318,0.067327768763,upper,suction
32,0.0573604733526,0.0676972372113,upper,suction
33,0.0572332281805,0.0680666677599,upper,suction
34,0.0571058704305,0.0684360594808,upper,suction
35,0.0569783975177,0.0688054114457,upper,suction
36,0.0568508068571,0.0691747227265,upper,suction
37,0.0567230958637,0.0695439923951,upper,suction
38,0.0565952619526,0.0699132195232,upper,suction
39,0.0564673025389,0.0702824031828,upper,suction
40,0.0563392150376,0.0706515424457,upper,suction
41,0.0562109968637,0.0710206363837,upper,suction
42,0.0560826454487,0.0713896840697,upper,suction
43,0.055954158292,0.0717586845806,upper,suction
44,0.0558255329548,0.0721276369968,upper,suction
45,0.0556967670086,0.0724965403997,upper,suction
46,0.055567858025,0.0728653938703,upper,suction
47,0.0554388035753,0.0732341964899,upper,suction
48,0.055309601231,0.0736029473396,upper,suction
49,0.0551802485636,0.0739716455007,upper,suction
50,0.0550507431446,0.0743402900543,upper,suction
51,0.0549210825454,0.0747088800815,upper,suction
52,0.0547912643376,0.0750774146637,upper,suction
53,0.0546612860924,0.0754458928818,upper,suction
54,0.0545311453815,0.0758143138173,upper,suction
55,0.0544008397763,0.0761826765511,upper,suction
56,0.0542703668482,0.0765509801645,upper,suction
57,0.0541397241663,0.0769192237377,upper,suction
58,0.054008909057,0.0772874062487,upper,suction
59,0.053877918168,0.0776555263901,upper,suction
60,0.0537467476619,0.0780235826506,upper,suction
61,0.0536153936543,0.0783915734988,upper,suction
62,0.0534838522611,0.0787594974038,upper,suction
63,0.0533521195981,0.0791273528342,upper,suction
64,0.053220191781,0.079495138259,upper,suction
65,0.0530880649257,0.079862852147,upper,suction
66,0.0529557351478,0.0802304929671,upper,suction
67,0.0528231985632,0.0805980591881,upper,suction
68,0.0526904512877,0.0809655492788,upper,suction
69,0.052557489437,0.0813329617082,upper,suction
70,0.0524243091269,0.081700294945,upper,suction
71,0.0522909064732,0.0820675474582,upper,suction
72,0.0521572775916,0.0824347177165,upper,suction
73,0.0520234186095,0.0828018041923,upper,suction
74,0.0518893259737,0.0831688054576,upper,suction
75,0.051754996776,0.0835357202843,upper,suction
76,0.0516204284616,0.0839025475547,upper,suction
77,0.0514856184925,0.0842692861559,upper,suction
78,0.0513505643308,0.0846359349753,upper,suction
79,0.0512152634387,0.0850024929001,upper,suction
80,0.0510797132782,0.0853689588177,upper,suction
81,0.0509439113114,0.0857353316153,upper,suction
82,0.0508078550004,0.0861016101803,upper,suction
83,0.0506715418073,0.0864677933999,upper,suction
84,0.0505349691942,0.0868338801615,upper,suction
85,0.0503981346233,0.0871998693523,upper,suction
86,0.0502610355565,0.0875657598596,upper,suction
87,0.0501236694561,0.0879315505708,upper,suction
88,0.0499860337841,0.0882972403731,upper,suction
89,0.0498481258491,0.0886628280887,upper,suction
90,0.0497099409664,0.0890283116941,upper,suction
91,0.0495714713976,0.0893936878701,upper,suction
92,0.0494327081686,0.0897589527732,upper,suction
93,0.0492936422838,0.0901241025511,upper,suction
94,0.0491542647478,0.0904891333511,upper,suction
95,0.0490145665651,0.0908540413208,upper,suction
96,0.0488745387402,0.0912188226077,upper,suction
97,0.0487341722776,0.0915834733593,upper,suction
98,0.0485934581818,0.091947989723,upper,suction
99,0.0484523874572,0.0923123678464,upper,suction
100,0.0483109511084,0.0926766038769,upper,suction
101,0.0481691401398,0.0930406939621,upper,suction
102,0.0480269455561,0.0934046342494,upper,suction
103,0.0478843583615,0.0937684208864,upper,suction
104,0.0477413695608,0.0941320500205,upper,suction
105,0.0475979704899,0.0944955179141,upper,suction
106,0.0474541549213,0.0948588216725,upper,suction
107,0.0473099195547,0.0952219594147,upper,suction
108,0.0471652619147,0.0955849295448,upper,suction
109,0.0470201795278,0.0959477304678,upper,suction
110,0.0468746699203,0.0963103605884,upper,suction
111,0.0467287306189,0.0966728183117,upper,suction
112,0.0465823591499,0.0970351020425,upper,suction
113,0.0464355530398,0.0973972101857,upper,suction
114,0.0462883098151,0.0977591411461,upper,suction
115,0.0461406270022,0.0981208933288,upper,suction
116,0.0459925021277,0.0984824651386,upper,suction
117,0.0458439327179,0.0988438549804,upper,suction
118,0.0456949162994,0.099205061259,upper,suction
119,0.0455454503986,0.0995660823794,upper,suction
120,0.0453955325419,0.0999269167465,upper,suction
121,0.0452451593629,0.100287562346,upper,suction
122,0.0450943234034,0.100648015242,upper,suction
123,0.0449430132913,0.10100826966,upper,suction
124,0.0447912169381,0.101368319491,upper,suction
