distance_upstream_min_mm,distance_upstream_max_mm,midpoint_mm,n_cells,Tu_median_percent,Tu_p10_percent,Tu_p90_percent,mut_over_mu_median,intermittency_median,retheta_median,speed_median_m_s,k_median_m2_s2
50,55,52.5,260,3.0077963592,2.65667482437,3.51888842519,4.40742681208,0.999928177042,146.013894944,92.5659557624,11.7656857051
45,50,47.5,254,2.30450299184,2.11715962343,2.51734899578,4.2224133451,0.999925885385,195.610129509,92.758679471,6.85573780674
40,45,42.5,259,1.9325247741,1.7980860719,2.07619614081,4.10405867855,0.999957256234,235.336790589,92.4932824453,4.80512584369
35,40,37.5,266,1.69741623515,1.5764843942,1.81063822851,4.01826584827,0.999971724533,273.883785499,92.6827499882,3.69630216773
30,35,32.5,272,1.52921779265,1.40390972338,1.64432997957,3.9515142732,0.999979731454,312.658156407,92.5358828164,2.98354815443
25,30,27.5,273,1.40092803029,1.26330614347,1.53801846654,3.89618701451,0.999979556921,346.334729656,92.2791981155,2.49519338144
20,25,22.5,276,1.28775089844,1.14125506855,1.48545300681,3.84801398101,0.999973999248,390.538294904,92.7605744791,2.13850709898
15,20,17.5,262,1.17873522664,1.0257212877,1.47624020107,3.80479626758,0.999951322228,451.093408706,94.9492245109,1.86235269339
10,15,12.5,259,1.08662446063,0.920755174392,1.50567131902,3.76639088053,0.999918668662,507.899221102,96.4923924948,1.64577484115
5,10,7.5,245,0.968747353009,0.812283663062,1.49126285864,3.72967194734,0.999845881281,577.741671808,102.906436828,1.48041746613
2,5,3.5,123,0.870136815369,0.723288399704,1.26628663106,3.69848581355,0.999810177342,655.345805549,113.535319977,1.41448419326
