quantity,unit,baseline_vr10,tu065_vr05,absolute_change,relative_change_percent
mean external wall temperature,K,608.878997099,604.438496931,-4.44050016789,-0.729291072453
external heat-transfer rate,W/m,28548.2741519,27775.8391434,-772.435008495,-2.70571525405
outlet Mach number,-,0.903351068254,0.903562437523,0.000211369269477,0.0233983527451
solid minimum temperature,K,501.86925209,496.824167546,-5.04508454433,-1.00525874485
solid mean temperature,K,590.570318663,586.081802615,-4.48851604847,-0.760030754446
solid maximum temperature,K,704.394844119,704.29445658,-0.100387539083,-0.0142516004939
