metric,units,value
final_iteration,-,651
mass_flow_inlet,kg/(s*m),19.201884
mass_flow_outlet,kg/(s*m),-19.201867
mass_flow_net,kg/(s*m),1.6603633e-05
mass_imbalance_percent,%,8.64687704602e-05
heat_rate_wall_vane,W/m,28513.336
heat_rate_wall_vane_shadow,W/m,-28513.34
interface_heat_residual,W/m,-0.0046209567
interface_mismatch_percent,%,1.62062997469e-05
heat_rate_cooling_holes_total,W/m,-28513.934
solid_heat_residual,W/m,-0.598000000002
solid_heat_imbalance_percent,%,0.00209726424155
wall_yplus_min,-,0.00787831407261
wall_yplus_area_average,-,0.251837358084
wall_yplus_max,-,0.402856894528
heat_rate_cooling_hole_01,W/m,-3008.527
heat_rate_cooling_hole_02,W/m,-3126.4833
heat_rate_cooling_hole_03,W/m,-2637.3078
heat_rate_cooling_hole_04,W/m,-2654.2152
heat_rate_cooling_hole_05,W/m,-3615.3889
heat_rate_cooling_hole_06,W/m,-3282.1429
heat_rate_cooling_hole_07,W/m,-4164.6537
heat_rate_cooling_hole_08,W/m,-2827.6964
heat_rate_cooling_hole_09,W/m,-1820.2181
heat_rate_cooling_hole_10,W/m,-1377.3009
qext_20iter_max_relative_change_percent,%,0.0197813086821
tw_20iter_max_relative_change_percent,%,0.00553733019114
mach_20iter_max_relative_change_percent,%,0.000538298870089
final_normalized_residual_continuity,-,4.13181525702e-05
final_normalized_residual_x-velocity,-,4.63650922244e-09
final_normalized_residual_y-velocity,-,1.29666719602e-08
final_normalized_residual_energy,-,1.73673994574e-08
final_normalized_residual_k,-,2.08867384442e-06
final_normalized_residual_omega,-,1.60799700635e-06
final_normalized_residual_intermit,-,2.69839575177e-07
final_normalized_residual_retheta,-,3.53777818184e-06
