quantity,baseline_vr10,tu065_vr05,absolute_change,relative_change_percent
Tu_2_to_5mm_percent,1.24732612165,0.870136815369,-0.377189306281,-30.2398306051
mut_over_mu_2_to_5mm,7.8512417751,3.69848581355,-4.15275596155,-52.8929827982
retheta_2_to_5mm,412.932813648,655.345805549,242.412991901,58.7051897763
k_2_to_5mm_m2_s2,2.90901382274,1.41448419326,-1.49452962948,-51.3758173918
speed_2_to_5mm_m_s,113.540053692,113.535319977,-0.00473371550335,-0.00416920315731
suction_max_dgamma_x_over_Cx,0.653383547974,0.685838289714,0.0324547417402,4.96718261342
suction_max_dTw_x_over_Cx,0.653383547974,0.684154661926,0.0307711139519,4.70950132266
suction_max_dtau_x_over_Cx,0.655118484874,0.685838289714,0.0307198048396,4.6885388791
mean_external_wall_temperature_K,608.878997099,604.438496931,-4.44050016789,-0.729291072453
external_heat_transfer_rate_W_per_m,28548.2741519,27775.8391434,-772.435008495,-2.70571525405
outlet_Mach,0.903351068254,0.903562437523,0.000211369269477,0.0233983527451
