metric,units,value
final_iteration,-,686
mass_flow_inlet,kg/(s*m),19.201298
mass_flow_outlet,kg/(s*m),-19.201374
mass_flow_net,kg/(s*m),-7.6100915e-05
mass_imbalance_percent,%,0.000396331354235
heat_rate_wall_vane,W/m,27775.839
heat_rate_wall_vane_shadow,W/m,-27775.833
interface_heat_residual,W/m,0.0062812678
interface_mismatch_percent,%,2.26141448992e-05
heat_rate_cooling_holes_total,W/m,-27777.564
solid_heat_residual,W/m,-1.725
solid_heat_imbalance_percent,%,0.00621024062198
wall_yplus_min,-,0.00725795545197
wall_yplus_area_average,-,0.24705305929
wall_yplus_max,-,0.398321377805
heat_rate_cooling_hole_01,W/m,-2985.43
heat_rate_cooling_hole_02,W/m,-3097.8558
heat_rate_cooling_hole_03,W/m,-2579.6894
heat_rate_cooling_hole_04,W/m,-2489.5521
heat_rate_cooling_hole_05,W/m,-3333.5308
heat_rate_cooling_hole_06,W/m,-3167.5739
heat_rate_cooling_hole_07,W/m,-4125.1497
heat_rate_cooling_hole_08,W/m,-2813.0678
heat_rate_cooling_hole_09,W/m,-1812.3978
heat_rate_cooling_hole_10,W/m,-1373.3163
