distance_upstream_min_mm,distance_upstream_max_mm,midpoint_mm,n_cells,Tu_median_percent,Tu_p10_percent,Tu_p90_percent,mut_over_mu_median,intermittency_median,retheta_median,speed_median_m_s,k_median_m2_s2
50,55,52.5,260,4.18551522991,3.71257067988,4.84144775833,8.94324029147,1,115.422868198,92.5688574238,22.6109793248
45,50,47.5,254,3.2351202419,2.98080096598,3.52283744497,8.57814650353,1,149.670563776,92.7615875794,13.5126927452
40,45,42.5,259,2.72664836317,2.53897215111,2.92276367624,8.34257275948,1,178.464830191,92.495997759,9.55701258039
35,40,37.5,266,2.40063982672,2.23129721861,2.55746375147,8.17252349414,0.999999999999,201.999850177,92.6856527587,7.38999326027
30,35,32.5,272,2.16546170316,1.9905984417,2.32783779443,8.03769146549,0.999999999997,225.317052006,92.5387661768,5.99132349427
25,30,27.5,273,1.98612895308,1.79252910113,2.18002886021,7.92591782679,0.999999999994,246.120186804,92.2818641918,5.01574087418
20,25,22.5,276,1.82760126055,1.61961463535,2.10764211288,7.83000456218,0.999999999988,269.56064427,92.7634312263,4.31039100491
15,20,17.5,262,1.67341784228,1.45701574305,2.09561151461,7.74270394058,0.999999999976,295.329483598,94.9524648279,3.75404776896
10,15,12.5,259,1.54330760403,1.30756108541,2.13840405244,7.66404048609,0.999999999947,320.570273759,96.4949782502,3.32198809929
5,10,7.5,245,1.37700721439,1.15496004689,2.11939493998,7.58826822866,0.99999999986,359.526258191,102.908910522,2.98991639706
2,5,3.5,123,1.23703920075,1.02844663754,1.80009775525,7.52764263898,0.999999999672,417.411643042,113.539682537,2.8590254816
