quantity,unit,baseline_vr10,tu065_vr01,absolute_change,relative_change_percent
mean external wall temperature,K,608.878997099,574.704752617,-34.1742444823,-5.61264958146
external heat-transfer rate,W/m,28548.2741519,22919.7671673,-5628.50698452,-19.7157521838
outlet Mach number,-,0.903351068254,0.905423919473,0.00207285121928,0.229462419664
solid minimum temperature,K,501.86925209,484.588708653,-17.2805434377,-3.44323613485
solid mean temperature,K,590.570318663,559.685371447,-30.8849472165,-5.22968158753
solid maximum temperature,K,704.394844119,698.72150777,-5.67333634909,-0.805419914193
