case_id,Tu_in_percent,inlet_viscosity_ratio,Tu_2_to_5mm_percent,mut_over_mu_2_to_5mm,retheta_2_to_5mm,k_2_to_5mm_m2_s2,suction_max_dgamma_x_over_Cx,suction_max_dTw_x_over_Cx,suction_max_dtau_x_over_Cx,mean_external_wall_temperature_K,external_heat_transfer_rate_W_per_m,outlet_Mach
baseline_tu065_vr10,6.5,10,1.24732612165,7.8512417751,412.932813648,2.90901382274,0.653383547974,0.653383547974,0.655118484874,608.878997099,28548.2741519,0.903351068254
tu065_vr05,6.5,5,0.870136815369,3.69848581355,655.345805549,1.41448419326,0.685838289714,0.684154661926,0.685838289714,604.438496931,27775.8391434,0.903562437523
tu065_vr01,6.5,1,0.363710121929,0.638547984442,1062.82797932,0.249088191537,0.966688346641,0.88153308208,0.96796452581,574.704752617,22919.7671673,0.905423919473
