cellnumber,    x-coordinate,    y-coordinate,        pressure,     temperature,          y-plus,       heat-flux,face-area-magnitude
       203, 1.620490663E-02, 9.333664924E-02, 3.988292029E+05, 6.156141761E+02, 1.362461036E-01,-9.161393132E+04, 1.096624158E-03
       204, 1.537530217E-02, 9.405377507E-02, 3.989868194E+05, 6.159474414E+02, 1.346236875E-01,-9.143238255E+04, 1.096575557E-03
       205, 1.453969255E-02, 9.476384521E-02, 3.991394130E+05, 6.163248472E+02, 1.330661242E-01,-9.119555786E+04, 1.096566301E-03
       206, 1.369839441E-02, 9.546720237E-02, 3.992874433E+05, 6.167540152E+02, 1.317789794E-01,-9.123477334E+04, 1.096617814E-03
       207, 1.285179891E-02, 9.616430104E-02, 3.994357023E+05, 6.172208319E+02, 1.306579039E-01,-9.133526504E+04, 1.096716762E-03
       208, 1.200027484E-02, 9.685554355E-02, 3.995884991E+05, 6.177271170E+02, 1.294171939E-01,-9.148122948E+04, 1.096843306E-03
       209, 1.114377566E-02, 9.754073620E-02, 3.997450223E+05, 6.182798974E+02, 1.271337206E-01,-9.114478338E+04, 1.096874531E-03
       210, 1.028152462E-02, 9.821859747E-02, 3.998987675E+05, 6.189525378E+02, 1.244234975E-01,-9.057756323E+04, 1.096745875E-03
       211, 9.412398562E-03, 9.888730943E-02, 4.000361564E+05, 6.198352290E+02, 1.203816418E-01,-8.934096329E+04, 1.096514494E-03
       212, 8.535308763E-03, 9.954512864E-02, 4.001425611E+05, 6.210702056E+02, 1.161900745E-01,-8.789905725E+04, 1.096260987E-03
       213, 7.650562562E-03, 1.001923755E-01, 4.002178092E+05, 6.227836092E+02, 1.147418308E-01,-8.688705741E+04, 1.096220275E-03
       214, 6.761342753E-03, 1.008336693E-01, 4.002716592E+05, 6.249638770E+02, 1.146861356E-01,-8.543071823E+04, 1.096461098E-03
       215, 5.872446578E-03, 1.014759988E-01, 4.003264686E+05, 6.277544998E+02, 1.147492184E-01,-8.465096351E+04, 1.096919265E-03
       216, 4.989314359E-03, 1.021270901E-01, 4.003482458E+05, 6.313698821E+02, 1.205415673E-01,-9.029408813E+04, 1.097534797E-03
       217, 4.130134359E-03, 1.028082073E-01, 4.004609298E+05, 6.353230428E+02, 1.373461010E-01,-1.012903253E+05, 1.096143540E-03
       218, 3.328839550E-03, 1.035546958E-01, 4.009069568E+05, 6.385892636E+02, 1.455868333E-01,-1.031649913E+05, 1.097052823E-03
       219, 2.604343928E-03, 1.043770090E-01, 4.015678029E+05, 6.415987891E+02, 1.420515346E-01,-1.063785135E+05, 1.097243362E-03
       220, 1.960274763E-03, 1.052634567E-01, 4.022887525E+05, 6.443782491E+02, 1.363715763E-01,-1.109681753E+05, 1.096633070E-03
       221, 1.403118018E-03, 1.062067971E-01, 4.029860625E+05, 6.466511969E+02, 1.186033962E-01,-1.113419706E+05, 1.097051666E-03
       222, 9.364106227E-04, 1.071982682E-01, 4.034438142E+05, 6.486169052E+02, 9.686036222E-02,-1.121893430E+05, 1.096895035E-03
       223, 5.630473024E-04, 1.082284525E-01, 4.037743099E+05, 6.500595108E+02, 3.784019179E-02,-1.072731954E+05, 1.096973391E-03
       224, 2.885229478E-04, 1.092891321E-01, 4.037270038E+05, 6.512782983E+02, 5.286549877E-02,-1.028579298E+05, 1.096815280E-03
       225, 1.163934357E-04, 1.103712022E-01, 4.033833319E+05, 6.526253407E+02, 1.020268917E-01,-1.064247726E+05, 1.097018592E-03
       226, 4.572208491E-05, 1.114647686E-01, 4.027378522E+05, 6.537312980E+02, 1.322428708E-01,-1.078738331E+05, 1.096966190E-03
       227, 7.739115972E-05, 1.125598922E-01, 4.017119424E+05, 6.545592863E+02, 1.574236741E-01,-1.080627930E+05, 1.096692568E-03
       228, 2.122377919E-04, 1.136473790E-01, 4.003833350E+05, 6.550048143E+02, 1.756969459E-01,-1.041773219E+05, 1.097326253E-03
       229, 4.492804583E-04, 1.147171557E-01, 3.987792624E+05, 6.554778142E+02, 1.928768026E-01,-1.053235945E+05, 1.096660316E-03
       230, 8.452309994E-04, 1.158970967E-01, 3.971407313E+05, 6.558440802E+02, 1.961212349E-01,-1.103489218E+05, 1.395797921E-03
       231, 1.320154406E-03, 1.170491651E-01, 3.957466206E+05, 6.553956465E+02, 1.950591162E-01,-9.765878733E+04, 1.097207880E-03
       232, 1.780960127E-03, 1.180446148E-01, 3.943699891E+05, 6.554439359E+02, 2.013530986E-01,-9.224121338E+04, 1.096896400E-03
       233, 2.270213095E-03, 1.190263256E-01, 3.927778747E+05, 6.561960434E+02, 2.161568750E-01,-9.476873024E+04, 1.097062916E-03
