cellnumber,    x-coordinate,    y-coordinate,        pressure,     temperature,          y-plus,       heat-flux,face-area-magnitude
1,0.0612568893313,0.0562284443141,230705.212015,646.239032279,0.353993261597,-162750.15847,0.000390730238536
2,0.0611325645374,0.0565988676522,230853.685344,646.776184916,0.353838708418,-161432.634463,0.000390730203342
3,0.0610081591979,0.0569692639109,231004.524428,647.246393989,0.353715452787,-160254.998402,0.000390730170124
4,0.0608836714565,0.0573396324496,231156.922509,647.642337127,0.353584188454,-159243.455691,0.000390730140179
5,0.060759099457,0.0577099726276,231307.676662,647.96645591,0.353462695567,-158399.690626,0.000390730114832
6,0.0606344413431,0.0580802838043,231456.820616,648.226211003,0.353398853411,-157703.572186,0.000390730095439
7,0.0605096952588,0.0584505653391,231608.394172,648.4172533,0.353396620443,-157187.802103,0.000390730083384
8,0.0603848593477,0.0588208165914,231764.997156,648.542793704,0.353398868547,-156840.994911,0.000390730080082
9,0.0602599317536,0.0591910369204,231923.810564,648.604840902,0.353364239143,-156648.040713,0.000390730086976
10,0.0601349106763,0.0595612257041,232079.835541,648.604862066,0.353319144285,-156611.613531,0.000390730104845
11,0.0600097949483,0.0599313825301,232231.697789,648.547335447,0.353321622704,-156740.114097,0.000390730127617
12,0.059884584319,0.0603015072897,232382.908178,648.438974936,0.353394052426,-157037.424166,0.000390730151187
13,0.0597592788817,0.0606715999881,232537.794077,648.287587209,0.353489420258,-157489.146875,0.000390730175427
14,0.0596338787342,0.061041660632,232695.798677,648.103286915,0.353539464427,-158058.657304,0.000390730200264
15,0.0595083839742,0.0614116892283,232851.376352,647.897774235,0.353537102878,-158703.862237,0.000390730225625
16,0.0593827946997,0.0617816857836,233000.467727,647.680865949,0.353544008356,-159402.939802,0.000390730251439
17,0.0592571110083,0.0621516503047,233145.090395,647.458889471,0.353612028967,-160162.004038,0.000390730277632
18,0.0591313329979,0.0625215827983,233290.377274,647.240495958,0.3537238867,-160968.857003,0.000390730304131
19,0.0590054607663,0.0628914832712,233439.405469,647.036009552,0.353824294259,-161787.299726,0.000390730330866
20,0.0588794944112,0.06326135173,233591.505819,646.854761632,0.353869624983,-162574.994434,0.000390730357762
21,0.0587534340304,0.0636311881817,233742.865891,646.701700113,0.353847892786,-163306.014713,0.000390730384748
22,0.0586272797218,0.0640009926328,233889.226204,646.579672867,0.353787657958,-163978.918872,0.000390730411751
23,0.0585010315831,0.0643707650902,234029.117685,646.497321929,0.353726860786,-164571.186649,0.0003907304387
24,0.0583746897121,0.0647405055605,234164.015094,646.460534082,0.353686405373,-165065.208081,0.000390730465522
25,0.0582482542066,0.0651102140505,234296.783535,646.47036882,0.353663904935,-165456.540728,0.000390730492146
26,0.0581217250072,0.0654798905122,234430.320123,646.527026777,0.353643396553,-165742.190259,0.000390730516692
27,0.0579951010186,0.0658495345365,234566.154881,646.63036107,0.353593117182,-165908.882378,0.000390730529727
28,0.0578683799615,0.0662191453018,234703.071533,646.777304715,0.353484524605,-165946.145712,0.000390730529713
29,0.0577415592513,0.0665887218801,234837.763448,646.961474086,0.353317203745,-165867.65614,0.000390730518842
30,0.0576146363031,0.0669582633432,234966.6363,647.180958463,0.35312325142,-165676.795311,0.000390730499362
31,0.0574876085318,0.067327768763,235089.090539,647.433787806,0.352953633707,-165375.637155,0.000390730473582
32,0.0573604733526,0.0676972372113,235209.02613,647.711348279,0.35282476232,-164993.463228,0.000390730443869
33,0.0572332281805,0.0680666677599,235330.00099,648.004914857,0.352692521588,-164549.561809,0.000390730412647
34,0.0571058704305,0.0684360594808,235450.90708,648.307131499,0.352514884976,-164051.947527,0.000390730382398
35,0.0569783975177,0.0688054114457,235568.136825,648.613304347,0.352302706374,-163503.629176,0.000390730355661
36,0.0568508068571,0.0691747227265,235679.674194,648.91694028,0.352099542539,-162925.380627,0.000390730335035
37,0.0567230958637,0.0695439923951,235786.759818,649.210274155,0.351930713775,-162350.086601,0.000390730323175
38,0.0565952619526,0.0699132195232,235891.317882,649.488712703,0.351789056194,-161793.429883,0.000390730322796
39,0.0564673025389,0.0702824031828,235994.517016,649.749412337,0.351671483568,-161259.684494,0.000390730336668
40,0.0563392150376,0.0706515424457,236098.172634,649.987274215,0.351584508938,-160766.639899,0.000390730367623
41,0.0562109968637,0.0710206363837,236204.572951,650.197260566,0.351519930621,-160334.241164,0.000390730418542
42,0.0560826454487,0.0713896840697,236315.032277,650.376330451,0.351457148013,-159971.895079,0.000390730483468
43,0.055954158292,0.0717586845806,236429.3259,650.52226588,0.3513699024,-159682.803646,0.00039073053719
44,0.0558255329548,0.0721276369968,236544.596737,650.633582217,0.351236532941,-159465.848379,0.00039073057706
45,0.0556967670086,0.0724965403997,236655.932165,650.70945706,0.351075241674,-159328.291694,0.00039073060602
46,0.055567858025,0.0728653938703,236760.672296,650.753472395,0.350944469827,-159268.696469,0.000390730627063
47,0.0554388035753,0.0732341964899,236861.62734,650.766682138,0.350879947046,-159303.337858,0.000390730643235
48,0.055309601231,0.0736029473396,236963.131068,650.753337856,0.350852570083,-159420.957083,0.000390730657633
49,0.0551802485636,0.0739716455007,237066.4365,650.713879958,0.350818560724,-159614.722609,0.000390730673404
50,0.0550507431446,0.0743402900543,237170.23943,650.649287419,0.350764826544,-159881.247314,0.000390730693751
51,0.0549210825454,0.0747088800815,237272.87085,650.561458624,0.350700400237,-160220.673506,0.000390730721925
52,0.0547912643376,0.0750774146637,237373.567804,650.453608572,0.350628983379,-160629.299313,0.000390730761229
53,0.0546612860924,0.0754458928818,237471.34899,650.329675449,0.350528259426,-161094.795083,0.000390730815021
54,0.0545311453815,0.0758143138173,237562.236991,650.19428979,0.350385425012,-161598.465434,0.000390730886708
55,0.0544008397763,0.0761826765511,237642.207633,650.053193236,0.350238424514,-162127.18477,0.000390730979748
56,0.0542703668482,0.0765509801645,237710.998668,649.912488221,0.350136082845,-162673.215124,0.000390731097653
57,0.0541397241663,0.0769192237377,237771.748027,649.776250034,0.350099316875,-163236.317319,0.000390731243682
58,0.054008909057,0.0772874062487,237828.973209,649.647871081,0.350133808075,-163818.128053,0.000390731392007
59,0.053877918168,0.0776555263901,237888.836807,649.530841354,0.350232592462,-164420.176176,0.000390731493722
60,0.0537467476619,0.0780235826506,237957.876656,649.42995619,0.350341990622,-165028.901781,0.00039073154909
61,0.0536153936543,0.0783915734988,238037.607363,649.349608506,0.350367897024,-165614.047358,0.000390731564288
62,0.0534838522611,0.0787594974038,238121.631978,649.293447519,0.350255452313,-166139.913153,0.000390731545622
63,0.0533521195981,0.0791273528342,238200.563846,649.263822066,0.35004114495,-166589.817525,0.000390731499536
64,0.053220191781,0.079495138259,238268.774396,649.262273492,0.349804523193,-166968.483031,0.000390731432605
65,0.0530880649257,0.079862852147,238326.003161,649.289299621,0.34959073705,-167287.462292,0.000390731351539
66,0.0529557351478,0.0802304929671,238374.071387,649.346802972,0.349400471061,-167542.992224,0.000390731263183
67,0.0528231985632,0.0805980591881,238414.795129,649.436231965,0.349227221783,-167726.410164,0.000390731174513
68,0.0526904512877,0.0809655492788,238450.467443,649.55787689,0.349059051695,-167831.358136,0.000390731092642
69,0.052557489437,0.0813329617082,238482.11296,649.710512192,0.348874503764,-167853.308694,0.000390731024814
70,0.0524243091269,0.081700294945,238509.094617,649.891416817,0.348668605933,-167794.616691,0.000390730978408
71,0.0522909064732,0.0820675474582,238530.74875,650.096967627,0.348454755933,-167666.092092,0.000390730960938
72,0.0521572775916,0.0824347177165,238547.558449,650.324000795,0.348245519832,-167481.968235,0.00039073098005
73,0.0520234186095,0.0828018041923,238560.711848,650.5713479,0.348033763022,-167242.80775,0.000390731042364
74,0.0518893259737,0.0831688054576,238570.350055,650.836074666,0.347806691627,-166951.940179,0.000390731123925
75,0.051754996776,0.0835357202843,238575.956233,651.115744236,0.347536372489,-166609.495096,0.000390731196319
76,0.0516204284616,0.0839025475547,238575.227068,651.407477579,0.347291002254,-166226.379748,0.00039073126319
77,0.0514856184925,0.0842692861559,238567.256704,651.707926501,0.346990320768,-165807.786936,0.000390731329975
78,0.0513505643308,0.0846359349753,238552.230093,652.013543789,0.346714611863,-165359.106314,0.000390731402171
79,0.0512152634387,0.0850024929001,238529.236175,652.321011982,0.346433968458,-164899.066376,0.000390731485331
80,0.0510797132782,0.0853689588177,238498.038294,652.626493587,0.346156261629,-164433.89117,0.000390731585071
81,0.0509439113114,0.0857353316153,238458.413688,652.928855786,0.345881376884,-163970.214087,0.000390731707062
82,0.0508078550004,0.0861016101803,238409.871303,653.227557868,0.345604701129,-163504.898833,0.000390731857036
83,0.0506715418073,0.0864677933999,238351.314577,653.520459494,0.345333197175,-163043.025348,0.000390732040784
84,0.0505349691942,0.0868338801615,238282.831161,653.805071782,0.345083683587,-162597.261399,0.000390732264155
85,0.0503981346233,0.0871998693523,238205.754446,654.080154047,0.344849320402,-162174.560822,0.000390732533058
86,0.0502610355565,0.0875657598596,238119.90784,654.344950461,0.344599891292,-161771.736068,0.00039073285346
87,0.0501236694561,0.0879315505708,238022.453072,654.599013443,0.344321193079,-161382.338473,0.000390733231387
88,0.0499860337841,0.0882972403731,237909.996691,654.842416966,0.344033335468,-161005.021838,0.000390733672925
89,0.0498481258491,0.0886628280887,237781.170781,655.0760709,0.343769069537,-160643.800835,0.00039073417083
90,0.0497099409664,0.0890283116941,237636.543059,655.301079797,0.343546988369,-160303.145525,0.000390734574595
91,0.0495714713976,0.0893936878701,237477.52416,655.517917641,0.343362645592,-159980.779786,0.00039073479872
92,0.0494327081686,0.0897589527732,237305.360583,655.726730019,0.343207483669,-159676.159028,0.000390734864536
93,0.0492936422838,0.0901241025511,237120.940766,655.928098815,0.343075975262,-159389.713213,0.000390734795984
94,0.0491542647478,0.0904891333511,236924.66882,656.123066578,0.342962200697,-159118.942724,0.000390734617741
95,0.0490145665651,0.0908540413208,236716.534236,656.313056842,0.342863995541,-158859.865825,0.000390734355217
96,0.0488745387402,0.0912188226077,236496.425143,656.499598831,0.342784158174,-158608.882022,0.000390734034559
97,0.0487341722776,0.0915834733593,236264.53029,656.684232563,0.34272888983,-158363.593831,0.000390733682648
98,0.0485934581818,0.091947989723,236021.514608,656.868335635,0.342701503398,-158121.374969,0.000390733327103
99,0.0484523874572,0.0923123678464,235768.341633,657.053010553,0.342701258735,-157880.605097,0.000390732996275
100,0.0483109511084,0.0926766038769,235505.900465,657.239378545,0.342722794294,-157638.196084,0.000390732719252
101,0.0481691401398,0.0930406939621,235234.64111,657.428533277,0.342758930323,-157389.28082,0.000390732525858
102,0.0480269455561,0.0934046342494,234954.370703,657.621324168,0.342809502064,-157129.892885,0.00039073244665
103,0.0478843583615,0.0937684208864,234665.172225,657.818371531,0.34288881376,-156860.151083,0.000390732512922
104,0.0477413695608,0.0941320500205,234368.739652,658.020085793,0.343012480077,-156584.596558,0.000390732756702
105,0.0475979704899,0.0944955179141,234068.011237,658.226816826,0.34317113284,-156302.598156,0.000390733180486
106,0.0474541549213,0.0948588216725,233765.319686,658.439060567,0.343338594158,-156008.911141,0.0003907336181
107,0.0473099195547,0.0952219594147,233461.195791,658.656993347,0.343496267359,-155702.379622,0.000390734006417
108,0.0471652619147,0.0955849295448,233154.51213,658.88060088,0.343629811518,-155377.125922,0.000390734355302
109,0.0470201795278,0.0959477304678,232842.793215,659.109256034,0.343735014866,-155028.089274,0.00039073467486
110,0.0468746699203,0.0963103605884,232523.091441,659.341680471,0.343828510138,-154659.088503,0.000390734975265
111,0.0467287306189,0.0966728183117,232194.051284,659.578731245,0.343943056938,-154269.90614,0.000390735266755
112,0.0465823591499,0.0970351020425,231857.164344,659.820053412,0.344099990464,-153866.060157,0.000390735559634
113,0.0464355530398,0.0973972101857,231515.286823,660.064737082,0.344289251781,-153451.245825,0.000390735864274
114,0.0462883098151,0.0977591411461,231170.071156,660.311682749,0.34448619264,-153024.67339,0.000390736191115
115,0.0461406270022,0.0981208933288,230821.540926,660.559719836,0.344676408565,-152585.71862,0.000390736550658
116,0.0459925021277,0.0984824651386,230468.855513,660.807752762,0.344851078106,-152133.749716,0.000390736953477
117,0.0458439327179,0.0988438549804,230109.88524,661.054853957,0.345007469534,-151667.681727,0.000390737410208
118,0.0456949162994,0.099205061259,229742.018596,661.300264447,0.345166415737,-151187.513193,0.000390737931556
119,0.0455454503986,0.0995660823794,229365.272897,661.543405095,0.3453652967,-150701.568983,0.00039073852829
120,0.0453955325419,0.0999269167465,228982.835614,661.784852868,0.345613460946,-150213.390342,0.000390739211243
121,0.0452451593629,0.100287562346,228597.581052,662.024025617,0.345892197455,-149726.836978,0.00039073990581
122,0.0450943234034,0.100648015242,228210.249591,662.259819642,0.346187975048,-149241.146387,0.000390740333324
