cellnumber,    x-coordinate,    y-coordinate,        pressure,     temperature,          y-plus,       heat-flux,face-area-magnitude
       197, 4.859818518E-02, 5.374411866E-02, 3.769258668E+05, 6.299563363E+02, 2.716440341E-01,-1.155364116E+05, 6.861863147E-04
       198, 4.823967069E-02, 5.432919785E-02, 3.776135169E+05, 6.293163465E+02, 2.690510197E-01,-1.149889401E+05, 6.861850265E-04
       199, 4.787952080E-02, 5.491327122E-02, 3.782847978E+05, 6.284384847E+02, 2.664284688E-01,-1.149520255E+05, 6.861842174E-04
       200, 4.751770198E-02, 5.549630895E-02, 3.789327529E+05, 6.273651213E+02, 2.638701066E-01,-1.154022723E+05, 6.861842174E-04
       201, 4.715418443E-02, 5.607829243E-02, 3.795626892E+05, 6.261817356E+02, 2.614553206E-01,-1.162408352E+05, 6.861852861E-04
       202, 4.678893834E-02, 5.665919557E-02, 3.801762319E+05, 6.249753127E+02, 2.590592320E-01,-1.173049510E+05, 6.861865857E-04
       203, 4.642195255E-02, 5.723899603E-02, 3.807729271E+05, 6.238328083E+02, 2.566424292E-01,-1.184051945E+05, 6.861874567E-04
       204, 4.605320841E-02, 5.781768635E-02, 3.813527431E+05, 6.228322558E+02, 2.542160834E-01,-1.193816084E+05, 6.861880823E-04
       205, 4.568268359E-02, 5.839523673E-02, 3.819169131E+05, 6.220306927E+02, 2.517573750E-01,-1.201102915E+05, 6.861886706E-04
       206, 4.531037435E-02, 5.897163972E-02, 3.824646993E+05, 6.214764348E+02, 2.492524589E-01,-1.204458747E+05, 6.861894324E-04
       207, 4.493625462E-02, 5.954686925E-02, 3.829969518E+05, 6.211785088E+02, 2.467603049E-01,-1.203256899E+05, 6.861905808E-04
       208, 4.456031322E-02, 6.012091413E-02, 3.835175811E+05, 6.211056006E+02, 2.441626287E-01,-1.197650568E+05, 6.861919334E-04
       209, 4.418252781E-02, 6.069374457E-02, 3.840193496E+05, 6.212240850E+02, 2.414906825E-01,-1.187751399E+05, 6.861923143E-04
       210, 4.380286857E-02, 6.126533449E-02, 3.845052686E+05, 6.214840442E+02, 2.389144913E-01,-1.174438007E+05, 6.861917585E-04
       211, 4.342131317E-02, 6.183566153E-02, 3.849779111E+05, 6.218070583E+02, 2.363582061E-01,-1.158917892E+05, 6.861906479E-04
       212, 4.303782806E-02, 6.240469217E-02, 3.854374989E+05, 6.221253646E+02, 2.338141060E-01,-1.142235787E+05, 6.861893713E-04
       213, 4.265239090E-02, 6.297240406E-02, 3.858848029E+05, 6.223741864E+02, 2.312878257E-01,-1.125724996E+05, 6.861883241E-04
       214, 4.226496816E-02, 6.353875250E-02, 3.863183455E+05, 6.225055805E+02, 2.287941125E-01,-1.110441094E+05, 6.861879039E-04
       215, 4.187554866E-02, 6.410373747E-02, 3.867379280E+05, 6.224909089E+02, 2.263930789E-01,-1.097200075E+05, 6.861882796E-04
       216, 4.148413986E-02, 6.466734409E-02, 3.871440769E+05, 6.223131193E+02, 2.241043198E-01,-1.086413107E+05, 6.861892286E-04
       217, 4.109075293E-02, 6.522957236E-02, 3.875385458E+05, 6.219639032E+02, 2.219165651E-01,-1.078287923E+05, 6.861905636E-04
       218, 4.069541022E-02, 6.579042971E-02, 3.879223494E+05, 6.214399355E+02, 2.197989979E-01,-1.073100129E+05, 6.861921075E-04
       219, 4.029813036E-02, 6.634991616E-02, 3.882954887E+05, 6.207538664E+02, 2.177393539E-01,-1.070841624E+05, 6.861936847E-04
       220, 3.989893198E-02, 6.690804660E-02, 3.886577426E+05, 6.199279064E+02, 2.157967630E-01,-1.071508148E+05, 6.861951211E-04
       221, 3.949782997E-02, 6.746479869E-02, 3.890127423E+05, 6.189993479E+02, 2.139235230E-01,-1.074557890E+05, 6.861960832E-04
       222, 3.909480944E-02, 6.802017242E-02, 3.893602269E+05, 6.180083581E+02, 2.120424489E-01,-1.079191342E+05, 6.861957579E-04
       223, 3.868984804E-02, 6.857413054E-02, 3.897009707E+05, 6.169869167E+02, 2.101342804E-01,-1.085171841E+05, 6.861943857E-04
