iteration,heat_rate_magnitude_W_per_m,wall_temperature_K,mach_outlet
182,35818.500845307,655.62307233163,0.901327844620148
183,35818.4324153518,655.623177458162,0.901332851764136
184,35818.3471683337,655.623259057819,0.901337624975928
185,35818.2874308511,655.623276334474,0.901342142058024
186,35818.2224850447,655.623299588902,0.901346382821877
187,35818.1795825834,655.623357317815,0.901350331333975
188,35818.1171875002,655.623388875864,0.901353971468717
189,35818.0844352456,655.623420812541,0.901357291089089
190,35818.034087593,655.623427652365,0.901360280031835
191,35818.0128364673,655.623415922828,0.901362931156098
192,35817.9779768971,655.62338401364,0.901365239363894
193,35817.9718898411,655.623336883128,0.901367202533811
194,35817.9523522075,655.623272202094,0.901368820485259
195,35817.9611741556,655.623194353619,0.90137009588171
196,35817.9560870958,655.623101012372,0.901371033284333
197,35817.9792401808,655.622977140195,0.901371639063565
198,35817.9851485872,655.622856189963,0.901371922915898
199,35818.019069097,655.622733569552,0.901371894956541
200,35818.0366903558,655.622603741635,0.901371566321692
201,35818.0809197163,655.622465327691,0.901370947266382
202,35818.1038623924,655.622322124439,0.901370054586768
203,35818.1529602186,655.622173455448,0.901368902370051
204,35818.187081007,655.62201995429,0.901367505514718
205,35818.2461880566,655.621867540078,0.901365880406235
206,35818.2867069548,655.62170634088,0.901364043240447
207,35818.349340213,655.621544809601,0.901362011938546
208,35818.3915310136,655.621381380701,0.901359804261028
209,35818.4584096996,655.621185756208,0.90135743860232
210,35818.518939234,655.621001846988,0.90135493309472
211,35818.5974831988,655.620832982195,0.901352306493017
212,35818.6541661247,655.620670529644,0.90134957738708
213,35818.7299025046,655.620516509307,0.901346764475415
214,35818.7830810117,655.620358571854,0.901343886610159
215,35818.858649737,655.620210984643,0.901340962877279
216,35818.9110653389,655.620069997046,0.901338011570277
217,35818.9828121641,655.619939583435,0.901335050553909
218,35819.0309904477,655.619816128252,0.901332096536991
219,35819.0979142187,655.619703855279,0.90132916589083
220,35819.1409452113,655.61959919069,0.901326273682489
221,35819.2022644178,655.619513731619,0.901323435270447
222,35819.2433352448,655.619436543574,0.901320663212275
223,35819.2998523729,655.619368552583,0.901317970746553
224,35819.3319344084,655.619306040024,0.901315370377206
225,35819.3818501468,655.619253527015,0.901312873859071
226,35819.4070805996,655.619208207442,0.90131049118609
227,35819.4502856984,655.619178494602,0.90130823213174
228,35819.4704438112,655.619155347563,0.901306105063056
229,35819.5076417379,655.61914061491,0.901304117077322
230,35819.5204324029,655.619130553834,0.901302273748287
231,35819.5516813661,655.619129130145,0.901300579978116
232,35819.5589215654,655.619132848553,0.901299039093947
233,35819.584782513,655.619145013944,0.901297654045098
234,35819.5859624851,655.619162361486,0.901296425821631
235,35819.6062587815,655.61918756857,0.901295355033731
236,35819.6024217646,655.619216610248,0.901294440973873
