iteration,continuity,x_velocity,y_velocity,energy,k,omega
156,0.00289928624927,5.82041480511e-07,1.44222297177e-06,1.48941824179e-06,1.43326584223e-05,3.26013330488e-05
157,0.00284632890228,2.82917437141e-07,7.05598628446e-07,1.47631813865e-06,1.41778244469e-05,3.24625031485e-05
158,0.00279932478052,2.76789499204e-07,6.94291769657e-07,1.46419841606e-06,1.39060608956e-05,3.30641092683e-05
159,0.00275479069986,2.7091265317e-07,6.82613874253e-07,1.45061697255e-06,1.35732404955e-05,3.2328292833e-05
160,0.00270878867875,2.65685460312e-07,6.692024566e-07,1.43427221335e-06,1.3356399051e-05,3.20763703863e-05
161,0.0026604516774,2.60535668631e-07,6.57364203947e-07,1.41466696787e-06,1.33265814422e-05,3.15954110255e-05
162,0.00261360624923,2.55403136822e-07,6.5047157359e-07,1.39750154284e-06,1.34376988159e-05,3.16452091473e-05
163,0.00257044011508,2.49941415681e-07,6.42334061376e-07,1.3792230445e-06,1.37129077311e-05,3.1304259978e-05
164,0.00253447897634,2.44507048783e-07,6.3408892294e-07,1.35992018759e-06,1.40181943898e-05,3.1411044289e-05
165,0.00249773332362,2.39103604932e-07,6.26670658875e-07,1.34095947063e-06,1.44051624628e-05,3.10930687425e-05
166,0.00245884753682,2.33828458721e-07,6.17578099651e-07,1.32041314049e-06,1.47752181075e-05,3.11543266949e-05
167,0.00242155138492,2.29641737223e-07,6.09096276491e-07,1.29969818211e-06,1.51336242673e-05,3.0850297954e-05
168,0.00238547291136,2.26147318137e-07,6.01960049454e-07,1.27791852772e-06,1.54433644905e-05,3.08885377334e-05
169,0.0023484321225,2.23544413239e-07,5.94671702021e-07,1.25479390322e-06,1.57434433004e-05,3.04879670019e-05
170,0.00231151905948,2.2146109031e-07,5.87019194368e-07,1.23328903099e-06,1.5964023589e-05,3.04424620894e-05
171,0.00227549458563,2.19433802294e-07,5.79891960165e-07,1.21150280018e-06,1.61303860812e-05,2.99086268834e-05
172,0.00223935658973,2.17157212192e-07,5.73082655151e-07,1.18799099393e-06,1.62164952974e-05,2.97326982375e-05
173,0.00220601918809,2.1493303727e-07,5.65982175252e-07,1.16462444159e-06,1.62478147602e-05,2.91062415602e-05
174,0.00217380122605,2.12761649949e-07,5.58638243206e-07,1.13957577453e-06,1.62004582221e-05,2.89284075261e-05
175,0.00213957221825,2.1048089278e-07,5.50402472266e-07,1.11551864571e-06,1.61126080074e-05,2.82910027057e-05
176,0.00210532054891,2.07805199018e-07,5.41786224741e-07,1.09237092297e-06,1.59643678155e-05,2.80192969799e-05
177,0.00207235694842,2.04991350342e-07,5.33249110184e-07,1.06894350265e-06,1.57885196151e-05,2.73238812371e-05
178,0.00203862874909,2.01816361154e-07,5.24441460962e-07,1.04476868318e-06,1.55304665483e-05,2.69909811278e-05
