3d=false
polyline=false
fit=false
0,23.829573558,119.598387975
0,23.822829166,119.804407832
0,23.802624871,120.009545481
0,23.769047191,120.212922490
0,23.722239911,120.413667967
0,23.662403466,120.610922291
0,23.589794086,120.803840787
0,23.504722694,120.991597350
0,23.407553580,121.173387975
0,23.298702837,121.348434209
0,23.178636580,121.515986477
0,23.047868952,121.675327293
0,22.906959919,121.825774336
0,22.756512876,121.966683369
0,22.597172060,122.097450997
0,22.429619792,122.217517254
0,22.254573558,122.326367997
0,22.072782932,122.423537111
0,21.885026370,122.508608503
0,21.692107874,122.581217883
0,21.494853550,122.641054328
0,21.294108073,122.687861609
0,21.090731064,122.721439289
0,20.885593415,122.741643584
0,20.679573558,122.748387975
0,20.473553701,122.741643584
0,20.268416053,122.721439289
0,20.065039044,122.687861609
0,19.864293566,122.641054328
0,19.667039242,122.581217883
0,19.474120746,122.508608503
0,19.286364184,122.423537111
0,19.104573558,122.326367997
0,18.929527324,122.217517254
0,18.761975057,122.097450997
0,18.602634241,121.966683369
0,18.452187197,121.825774336
0,18.311278165,121.675327293
0,18.180510536,121.515986477
0,18.060444279,121.348434209
0,17.951593536,121.173387975
0,17.854424422,120.991597350
0,17.769353031,120.803840787
0,17.696743650,120.610922291
0,17.636907205,120.413667967
0,17.590099925,120.212922490
0,17.556522245,120.009545481
0,17.536317950,119.804407832
0,17.529573558,119.598387975
0,17.536317950,119.392368118
0,17.556522245,119.187230470
0,17.590099925,118.983853461
0,17.636907205,118.783107983
0,17.696743650,118.585853660
0,17.769353031,118.392935163
0,17.854424422,118.205178601
0,17.951593536,118.023387975
0,18.060444279,117.848341741
0,18.180510536,117.680789474
0,18.311278165,117.521448658
0,18.452187197,117.371001615
0,18.602634241,117.230092582
0,18.761975057,117.099324953
0,18.929527324,116.979258697
0,19.104573558,116.870407953
0,19.286364184,116.773238840
0,19.474120746,116.688167448
0,19.667039242,116.615558067
0,19.864293566,116.555721623
0,20.065039044,116.508914342
0,20.268416053,116.475336662
0,20.473553701,116.455132367
0,20.679573558,116.448387975
0,20.885593415,116.455132367
0,21.090731064,116.475336662
0,21.294108073,116.508914342
0,21.494853550,116.555721623
0,21.692107874,116.615558067
0,21.885026370,116.688167448
0,22.072782932,116.773238840
0,22.254573558,116.870407953
0,22.429619792,116.979258697
0,22.597172060,117.099324953
0,22.756512876,117.230092582
0,22.906959919,117.371001615
0,23.047868952,117.521448658
0,23.178636580,117.680789474
0,23.298702837,117.848341741
0,23.407553580,118.023387975
0,23.504722694,118.205178601
0,23.589794086,118.392935163
0,23.662403466,118.585853660
0,23.722239911,118.783107983
0,23.769047191,118.983853461
0,23.802624871,119.187230470
